FID,x,y,adr_pelny,ogolem
10318,20.07524112,50.09933983,STUDZIENNA 12,9
42583,20.07807119,50.09756581,STUDZIENNA 13A,1
22866,20.07770058,50.09773515,STUDZIENNA 13C,4
42582,20.07725084,50.09802032,STUDZIENNA 15,1
29313,20.07699467,50.09812403,STUDZIENNA 15A,3
23093,20.07678186,50.09822741,STUDZIENNA 17,4
36037,20.07852994,50.09657361,STUDZIENNA 1C,3
35463,20.078354,50.09665175,STUDZIENNA 1D,3
35464,20.07826426,50.09669732,STUDZIENNA 1E,3
36404,20.07989844,50.09673807,STUDZIENNA 2,2
18185,20.07622476,50.09847652,STUDZIENNA 21,5
41499,20.07598746,50.09858984,STUDZIENNA 23,2
36014,20.07935726,50.09656727,STUDZIENNA 3A,3
42150,20.07921149,50.09665376,STUDZIENNA 3B,2
36012,20.0791753,50.09667154,STUDZIENNA 3C,3
36011,20.07887009,50.09684432,STUDZIENNA 3E,3
29070,20.0786703,50.09695129,STUDZIENNA 3F,4
29069,20.07848689,50.09704402,STUDZIENNA 3H,4
42148,20.07843406,50.09707179,STUDZIENNA 3J,2
36015,20.07705218,50.09771147,STUDZIENNA 3Y,3
17544,20.07953876,50.09695155,STUDZIENNA 4A,5
47226,20.0768277,50.09781064,STUDZIENNA 5,1
42149,20.0766935,50.09787256,STUDZIENNA 5A,2
36016,20.07662271,50.09790379,STUDZIENNA 5B,3
29071,20.07647627,50.09796978,STUDZIENNA 5C,4
36013,20.07623805,50.09807567,STUDZIENNA 5E,3
29444,20.07893064,50.09740595,STUDZIENNA 6,3
34839,20.07859835,50.09765836,STUDZIENNA 6A,3
26231,20.07780777,50.09798358,STUDZIENNA 8A,4
46737,20.07827931,50.09817799,STUDZIENNA 8C,1
47183,20.07885496,50.09717808,STUDZIENNA 9,1
29473,20.07149787,50.10120983,STYCZNA 10,3
36435,20.07114283,50.10155163,STYCZNA 12,2
18056,20.07280386,50.09992136,STYCZNA 3,5
22183,20.07359779,50.09984661,STYCZNA 4,4
35573,20.07242529,50.10022741,STYCZNA 5A,3
41145,20.07327308,50.10014715,STYCZNA 6,2
46563,20.07199412,50.1005749,STYCZNA 7,1
36431,20.07163157,50.10074239,STYCZNA 9,2
35267,20.07137221,50.1009522,STYCZNA 9A,3
27877,20.08328611,50.10910484,SYBIRAKoW 4,4
33953,20.07475609,50.10378973,WALENTEGO FLORKOWSKIEGO 10,3
46756,20.07498094,50.10364066,WALENTEGO FLORKOWSKIEGO 12,1
45807,20.07394933,50.10437824,WALENTEGO FLORKOWSKIEGO 2,1
31589,20.08065365,50.09952678,WINCENTEGO KIRCHMAJERA 1,3
20642,20.07926299,50.09854507,WINCENTEGO KIRCHMAJERA 11,5
31036,20.08037514,50.09937498,WINCENTEGO KIRCHMAJERA 3,3
35584,20.08006216,50.09944677,WINCENTEGO KIRCHMAJERA 4,3
21903,20.07971761,50.09922723,WINCENTEGO KIRCHMAJERA 6,5
45815,20.07980984,50.09894102,WINCENTEGO KIRCHMAJERA 7,1
16707,20.07939654,50.09893544,WINCENTEGO KIRCHMAJERA 8,6
